smiles,Tg
Brc1ccccc1,140
CC(C)OCCO,141
CCCCC(CC)CN,141
CC(C)OCCO,141
CCCCCCCO,141.15
CCCCCCCO,141.15
CC(C)(C)C1=CC=CC=C1,142
CC(C)(C)C1=CC=CC=C1,142
C=C(C)C(CO)OO,142
CCCCCCCO,142
CC(C)(C)c1ccccc1,142
C(C)(=C)C(CO[H])OO[H],142
CCC(CC)O,143
CCCC(C)CO,143
CCCC(C)CO,143
CCC(O)CC,143
CCC(C)C(C)O,143.8
CCC(C)C(C)O,143.8
CCCCCC(C)CO,144
C(CO)CO,144.6
CC(CCO)OC,145.3
CCCCC(CC)CO,145.9
CCCCC(CC)CO,146
CCCCC(CC)CO,146
CC(=O)N(C)C,146.15
CC(=O)N(C)C,146.15
CC(CCO)OC,146.9
CCCCC(CC)CO,147
CCCCC(C)O,148
CCCCC(C)O,148
OCCCO,148
CCCCC(CC)CO,148.9
CCCCC(CC)CO,148.9
C1=CC=C(C=C1)C=O,149
CCCCCCCCO,149
O=Cc1ccccc1,149.05
C1=CC=C(C=C1)I,149.7
Ic1ccccc1,149.7
CCCCCCCCO,149.85
CCCCCCCCO,149.85
C1CCC(CC1)O,150
C(CO)CO,150.4
OCCO,151
CCCCC(C)(CC)O,151
C1CCC(CC1)O,151
CCCCCC(C)CO,151
OCCO,151
CCCCC(C)(O)CC,151
OCCO,152
OCCO,152
CC(C)CCC(C)O,152.1
CC(C)CCC(C)O,152.1
OCCO,152.8
CCCCCCCCCO,153
CCCC(CC)O,153
CCCC(O)CC,153
CCCCCCCCCO,153
CCCCCCCCCO,153
CCC(C)(C)O,154
CC(C)C(C)O,154
CCC(C)(C)O,154
CC(C)C(C)O,154
CCCCCC(C)O,155
CCCCCC(C)O,155
CC1(C2CCC1(C(=O)C2)C)C,156.7
CC12CCC(CC1=O)C2(C)C,156.7
CC(C)CC(C)O,157.1
CC(C)CC(C)O,157.1
CC(C)(C)O,158
CCC(C)C(C)O,158
CCCCC(C(C)C)O,158
CCCCCC(C)CO,158
CCC(C)(C)CO,158
CCCCC(CC)O,158
CCC(C)(C)CO,158
CCCCC(O)CC,158
CCCCC(O)C(C)C,158
CCC(C)CC(CC)O,159
CCC(CCC(C)C)O,159
CCC(CCC(C)C)O,159
CC(C)CCCC(C)O,159
CCC(C)CC(CC)O,159
CCC(C)CC(O)CC,159
CC(C)CCCC(C)O,159
CCC(O)CCC(C)C,159
CCC(O)CCC(C)C,159
CC1COC(=O)O1,159.5
CC1COC(=O)O1,159.5
CC1COC(=O)O1,159.5
CC(O)CO,160
CC1COC(=O)O1,160
CCCC(C)C(CC)O,160
CC1COC(=O)O1,160
CC(O)CO,160
CC(=O)C1=CC=CC=C1,161
CC(=O)c1ccccc1,161.15
CCCC(C)C(O)CC,162
CCCC(C)C(CC)O,162.2
CCCC(C)C(CC)O,162.2
CCCC(C)C(CC)O,162.8
CCC(C)C(CC)O,163
CCCC(C)(C)O,163
CCCC(C)(C)O,163
C1(C(O1)CO[H])(CO[H])C,163
CC(CO)(C)C,166
CCCCCCC(C)O,166
CCCC(CCC)O,166
CCCC(C)(C)CO,166
CCCC(C)(C)CO,166
CC(C)(C)CO,166
CCCC(O)CCC,166
CCCCCCC(C)O,166
CC(C)(C)CO,166
CCCCCCC(C)O,166
C1(C(O1)CO[H])(CO[H])C,166
CC1=CC=C(C=C1)C=C,167
CC(CO)CO,167
CC(CO)CO,167
C=Cc1ccc(C)cc1,167
CC1(CO)OC1CO,167.14
c1ccc(cc1)CO,168
C1CCCC(CCC1)O,168
OCc1ccccc1,168
C1(C(O1)CO[H])(CO[H])C,168
CC(O)CO,169
C1(C(O1)CO[H])(CO[H])C,169
CC(O)CO,169.2
C1(C(O1)CO[H])(CO[H])C,169.7
CCCC(C)(CCC)O,170
CCCC(C)(O)CCC,170
CC(O)CO,170
CCCC(C)(O)CCC,170
CCCC(C(C)CC)O,173
CCCCC(C)(C)CO,173
CCCCC(C)(C)O,173
CCCCC(C)(C)CO,173
CCCCC(C)(C)O,173
C1=CC=C(C(=C1)N)F,174
CC(O)CCO,174
Nc1ccccc1F,174
CCCCCC(CCC)O,175
CCCCCC(O)CCC,175
CC(CCO)O,175.4
CC(O)CCO,175.4
CC(CCO)O,175.6
CC(CCCO)O,175.8
CC(O)CCCO,175.8
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,176
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,176
CCCCOC(=O)c1ccccc1C(=O)OCCCC,176
CCCCOC(=O)c1ccccc1C(=O)OCCCC,176
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,177.4
CCOC(=O)c1ccccc1C(=O)OCC,178
CCCCCC(C)(C)O,178
CCCCC(C)(CCC)O,178
CCCCCC(C)(C)O,178
CCCCC(C)(O)CCC,178
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,178.5
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,178.7
CCCCOC(=O)c1ccccc1C(=O)OCCCC,178.7
CCC(CO)O,178.9
CCC(O)CO,178.9
CC(CCCCO)O,179.4
OCC(O)CO,180
CCOC(=O)c1ccccc1C(=O)OCC,180
CCCCC(C(C)CC)O,180
CC(C)(C)O,180
CC(C)(C)O,180
CC(C)(C)O,180
CC(C)(C)O,180
CCOC(=O)c1ccccc1C(=O)OCC,180
CCCCC(C)(O)CCC,180
CCOC(=O)c1ccccc1C(=O)OCC,180.8
CCCCCCC(CCC)O,181
CCCC(CO)O,181
CCCCCCC(O)CCC,181
CCCC(O)CO,181
c1ccc(cc1)CCO,181.4
OCCc1ccccc1,181.4
CCOC(=O)c1ccccc1C(=O)OCC,182.5
CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC,182.5
CCOC(=O)c1ccccc1C(=O)OCC,182.5
O=C(OCC(CC)CCCC)C1=CC=CC=C1C(OCC(CC)CCCC)=O,184
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,184
CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC,184.4
OCC(O)CO,185
CCCCCC(C)(CCC)O,185
CCCCCC(C)(O)CCC,185
OCC(O)CO,185
OCC(O)CO,186
OCC(O)CO,186
CCCCCC(C(C)CC)O,186
CC1=CC(=CC=C1)N,187
CC1=CC(=CC=C1)N,187
Cc1cccc(N)c1,187
CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,188
OCC(O)CO,189
C(C(CO)O)O,189
OCC(O)CO,189.9
OCC(O)CO,190
OCC(O)CO,190
C1=CC(=CC(=C1)F)O,191
Oc1cccc(F)c1,191
CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,191.1
O=C(OC)c1ccccc1C(=O)OC,192
COC(=O)c1ccccc1C(=O)OC,192
C(C(CO)O)O,192
COC1=C(C=CC(=C1)CC=C)O,192.7
C=CCc1ccc(O)c(OC)c1,192.7
O=C(OC)c1ccccc1C(=O)OC,193
O=C(OC)c1ccccc1C(=O)OC,193
CC(C)C(C(C)C)O,193
CC(C)C(O)C(C)C,193
OCC(O)CO,193
CCC(C1=CC=CC=C1)O,193.6
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,194
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,194
C(C(CO)O)O,194
O=C(OC)c1ccccc1C(=O)OC,194.9
COC(=O)c1ccccc1C(=O)OC,194.9
CC(C(C)O)O,195.1
CC(O)C(C)O,195.1
CC(O)C(C)O,195.1
CC1=CC(=CC=C1)O,198
Cc1cccc(O)c1,198
CCC(C1=CC=CC=C1)O,198.2
CC1=CC(=CC=C1)O,198.6
CC(C(=O)O)O,200
C1=CC=C(C=C1)OP(OC2=CC=CC=C2)OC3=CC=CC=C3,200
CC(O)C(=O)O,200
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,200
C(CCC(CO)O)CCO,200.3
OCCCCCC(O)CO,200.3
C(CO)C(CO)O,200.7
OCCC(O)CO,200.7
C(CCO)CC(CO)O,201.9
